Organism ID,Dataset Name,Authors,Title
Phytozome-508,Glycine max Wm82.a4.v1,"Vignolle GA, Mach RL, Mach-Aigner AR, Derntl C","=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32216757/"",""Novel approach in whole genome mining and transcriptome analysis reveal conserved RiPPs in Trichoderma spp"")"
Phytozome-508,Glycine max Wm82.a4.v1,"Luo M, Gu YQ, Puiu D, Wang H, Twardziok SO, Deal KR, Huo N, Zhu T, Wang L, Wang Y, McGuire PE, Liu S, Long H, Ramasamy RK, Rodriguez JC, Van SL, Yuan L, Wang Z, Xia Z, Xiao L, Anderson OD, Ouyang S, Liang Y, Zimin AV, Pertea G, Qi P, Bennetzen JL, Dai X, Dawson MW, Müller H, Kugler K, Rivarola-Duarte L, Spannagl M, Mayer KFX, Lu F, Bevan MW, Leroy P, Li P, You FM, Sun Q, Liu Z, Lyons E, Wicker T, Salzberg SL, Devos KM, Dvořák J","=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/29143815/"",""Genome sequence of the progenitor of the wheat D genome Aegilops tauschii"")"
